Time_s,ReferenceSignal,UncompensatedResponse,CompensatedResponse,UncompensatedControl,CompensatedControl
1.075,0.228215833318204,0.106628365912413,0.0887103582291488,0.0607937337028957,0.0997840642594154
1.076,0.220156264298434,0.117663577787022,0.0909570513382577,0.0512463432557058,0.0919481875873049
1.077,0.226987207367568,0.109209023689919,0.0910402010979956,0.0588890918388246,0.0938721773929467
1.078,0.240413638126412,0.0965847760768978,0.106006925856605,0.071914431024757,0.102312265603273
1.079,0.249755222391712,0.101133274491189,0.113324643964665,0.0743109739502616,0.0990892749735926
1.08,0.234563480244635,0.100581506823912,0.113721012207621,0.0669909867103616,0.0851985538052841
1.081,0.251322876552664,0.107475610607737,0.12189789404727,0.0719236329724639,0.0950607205285718
1.082,0.25650268830645,0.093469435095411,0.123999761348804,0.0815166266055197,0.0940332942117917
1.083,0.267817733100186,0.109794410045935,0.120081208888107,0.0790116615271256,0.100506537093843
1.084,0.239342216009235,0.0986382462008359,0.118675533767522,0.0703519849041996,0.0832194636563918
1.085,0.26881202132142,0.0967132023905918,0.126176009002851,0.0860494094654141,0.104317112279326
1.086,0.252338388744274,0.10427384097733,0.131704997703715,0.0740322738834719,0.0874304916048864
1.087,0.26107155720179,0.11710376243598,0.123408533597765,0.0719838973829049,0.0891484312078993
1.088,0.233598866647257,0.123014276869701,0.123184250133008,0.0552922948887783,0.0753976944191941
1.089,0.23583979861534,0.121422754274493,0.126093476566965,0.0572085221704239,0.076750443133962
1.09,0.279518763685803,0.128890110978679,0.136589517061695,0.0753143263535622,0.105566097877564
1.091,0.26820210947903,0.12451815547173,0.144411830759374,0.07184197700365,0.0910088995871122
1.092,0.267158596127557,0.118909109898347,0.140944522535438,0.0741247431146049,0.0838837223515684
1.093,0.2621283349232,0.121431195654812,0.150091907252807,0.0703485696341941,0.0832314828937558
1.094,0.283132043398793,0.11076657480108,0.153539651020787,0.0861827342988564,0.0925212780451105
1.095,0.27514561406786,0.118362288246063,0.164334221332466,0.0783916629108985,0.0835822201367667
1.096,0.280027267717483,0.114825131266365,0.16672506886982,0.0826010682255592,0.0803298003158001
1.097,0.282921719971724,0.108655748601762,0.178632905350135,0.087132985684981,0.0806335096931438
1.098,0.288347894198038,0.0965622142764724,0.186020875668049,0.0958928399607828,0.0759297727273425
1.099,0.284113605218693,0.106393484343319,0.18424090489641,0.0888600604376872,0.0682576285970996
1.1,0.290900113687028,0.0995245930196826,0.16393344700872,0.0956877603336725,0.0751252133625083
1.101,0.304078498398405,0.105224803448976,0.175965884020072,0.0994268474747144,0.0972242381721572
1.102,0.301451719012416,0.118926573746542,0.173495888666925,0.0912625726329372,0.0874347108971231
1.103,0.296818776246135,0.128761818539366,0.172883931876542,0.0840284788533845,0.0854041955905015
1.104,0.31769264172558,0.135166444150162,0.17220478612156,0.0912630987877092,0.101582004547212
1.105,0.300810338348144,0.14946616456005,0.17664263887971,0.075672086894047,0.0888035003709659
1.106,0.292194977415654,0.138756414458015,0.174693841105506,0.0767192814788196,0.0809463224401037
1.107,0.330277438890644,0.131218825581674,0.175754292203161,0.099529306654485,0.108787817235702
1.108,0.31772640154119,0.138643325728476,0.177460355818306,0.089541537906357,0.10021659979934
1.109,0.317107198390977,0.151611047590344,0.177898375602395,0.0827480754003165,0.0985554320308072
1.11,0.31182230251351,0.150439002690405,0.17116199325958,0.0806916499115527,0.0926334158626644
1.111,0.303678514149762,0.136916438628197,0.164999175394177,0.0833810377607825,0.0923978951249867
1.112,0.327425002123302,0.136790953599227,0.150663538585948,0.0953170242620378,0.113605341688537
1.113,0.312854757079806,0.120129953701462,0.148474789647336,0.096362401689172,0.113004572134448
1.114,0.328483194480376,0.103552901391983,0.151156622314095,0.112465146544197,0.124780863207291
1.115,0.333040301766461,0.100464180477053,0.157977865716061,0.116288060644704,0.126782313715015
1.116,0.32078328015083,0.106347666546024,0.157658625705316,0.107217806802403,0.113873951984668
